Data,flow_A,flow_B,flow_C,flow_D,flow_E,woff_A,woff_B,woff_C,woff_D,woff_E,aum_A,aum_B,aum_C,aum_D,aum_E
2020-01-01,-14961.986277,-5040.877498,-23642.519220,40790.042082,10068.978337,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-02,4132.744965,-2625.346414,59585.031913,-23258.086084,-47079.614310,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-06,6889.146001,-3998.189221,-3548.516696,-13840.902579,29065.189379,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-07,-3237.549986,-2973.355737,-13248.798187,-3046.166637,11929.541027,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-08,48678.845527,15291.683667,6876.827295,-51909.941966,-5709.320394,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-09,-46549.027029,-25426.589667,-8961.948795,-9683.114011,91466.468324,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-13,-47253.838635,-11206.110820,-68.714129,5077.022244,97268.356360,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-14,23533.359098,32914.871280,56772.919157,-17812.733613,21710.132895,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-15,819744.385428,451133.933997,210647.758914,-7327.694636,-1245786.530576,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-16,609201.712805,333575.484093,87983.011088,-19336.595887,-1024723.745364,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-20,399570.442868,213137.425965,107076.609196,-24706.023403,-699887.977198,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-21,55991.972387,33098.950340,44530.006461,-14704.169580,-117004.960239,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-22,-661175.265166,-331115.882975,-86113.067639,-2862.029354,1089171.218547,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-23,-482321.749178,-286351.558022,-82929.356608,-6722.553695,850946.544434,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-27,-409162.418170,-243508.665342,-81196.835431,-676.475489,732081.163410,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-28,-26972.005257,-15899.605954,6430.358102,6407.141381,39576.239069,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-29,-33071.972462,-20966.854350,-2637.632454,3634.386212,56054.375158,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-01-30,-37180.311155,-20411.832341,-3672.456606,-6242.792953,50595.763762,0.839130,0.669489,0.490131,0.298108,0.090994,27797.040000,32990.840000,73794.860000,35868.860000,35362.170000
2020-02-03,-222178.772793,-118818.522775,-106194.923203,209527.050514,225762.273097,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-04,-9037.087146,-8109.126233,9319.589062,-2355.588998,5001.464232,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-05,-10493.182492,-10054.988138,5040.661856,4607.125561,22379.892286,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-06,-1712.404589,-5257.301031,6139.319035,4906.369107,9862.647139,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
